id,title,subtitle,description,short_description,syllabus,url,slug,difficulty,created,date_modified,date_published,available,end_date,typical_learning_time,rating,price,new,language,format,license,venue
OmgIw0C2EeWZtA4u62x6lQ,"Qualitative Research Methods",NULL,"In this course you will be introduced to the basic ideas behind the qualitative research in social science. You will learn about data collection, description, analysis and interpretation in qualitative research. Qualitative research often involves an iterative process. We will focus on the ingredients required for this process: data collection and analysis.\nYou wont learn how to use qualitative methods by just watching videos, so we put much stress on collecting data through observation and interviewing and on analysing and interpreting the collected data in other assignments.\nObviously, the most important concepts in qualitative research will be discussed, just as we will discuss quality criteria, good practices, ethics, writing some methods of analysis, and mixing methods.\nWe hope to take away some prejudice, and enthuse many students for qualitative research.",NULL,NULL,http://www.coursera.org/learn/qualitative-methods,qualitative-methods,NULL,NULL,NULL,NULL,NULL,NULL,"8 weeks of study, 4-6 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
a_xPWXNVEeWxvQr3acyajw,"Regression Models",NULL,"Linear models, as their name implies, relates an outcome to a set of predictors of interest using linear assumptions.  Regression models, a subset of linear models, are the most important statistical analysis tool in a data scientist’s toolkit. This course covers regression analysis, least squares and inference using regression models. Special cases of the regression model, ANOVA and ANCOVA will be covered as well. Analysis of residuals and variability will be investigated. The course will cover modern thinking on model selection and novel uses of regression models including scatterplot smoothing.",NULL,NULL,http://www.coursera.org/learn/regression-models,regression-models,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
GplkvRnqEeW9dA4X94-nLQ,"Managing Big Data with MySQL",NULL,"This course is an introduction to how to use relational databases in business analysis.  You will learn how relational databases work, and how to use entity-relationship diagrams to display the structure of the data held within them.  This knowledge will help you understand how data needs to be collected in business contexts, and help you identify features you want to consider if you are involved in implementing new data collection efforts.  You will also learn how to execute the most useful query and table aggregation statements for business analysts, and practice using them with real databases. No more waiting 48 hours for someone else in the company to provide data to you – you will be able to get the data by yourself!\n\nBy the end of this course, you will have a clear understanding of how relational databases work, and have a portfolio of queries you can show potential employers. Businesses are collecting increasing amounts of information with the hope that data will yield novel insights into how to improve businesses. Analysts that understand how to access this data – this means you! – will have a strong competitive advantage in this data-smitten business world.",NULL,NULL,http://www.coursera.org/learn/analytics-mysql,analytics-mysql,NULL,NULL,NULL,NULL,NULL,NULL,"5 weeks, 3 - 5 hours per week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-329,"Statistics: Making Sense of Data",NULL,"This course is an introduction to the key ideas and principles\nof the collection, display, and analysis of data to guide you in making\nvalid and appropriate conclusions about the world.",NULL,NULL,http://www.coursera.org/course/introstats,introstats,NULL,NULL,NULL,NULL,NULL,NULL,"6-8 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
6JyoHjVOEeWBMQ5pdIoFkQ,"Data Management and Visualization",NULL,"Whether being used to customize advertising to millions of website visitors or streamline inventory ordering at a small restaurant, data is becoming more integral to success. Too often, we’re not sure how use data to find answers to the questions that will make us more successful in what we do. In this course, you will discover what data is and think about what questions you have that can be answered by the data – even if you’ve never thought about data before. Based on existing data, you will learn to develop a research question, describe the variables and their relationships, calculate basic statistics, and present your results clearly. By the end of the course, you will be able to use powerful data analysis tools – either SAS or Python – to manage and visualize your data, including how to deal with missing data, variable groups, and graphs. Throughout the course, you will share your progress with others to gain valuable feedback, while also learning how your peers use data to answer their own questions.",NULL,NULL,http://www.coursera.org/learn/data-visualization,data-visualization,NULL,NULL,NULL,NULL,NULL,NULL,"4 weeks of study,  4-5 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-145,"Web Intelligence and Big Data",NULL,"This course is about building web-intelligence applications exploiting big data sources arising social media, mobile devices and sensors, using new big-data platforms based on the map-reduce parallel programming paradigm. In the past, this course has been offered at the Indian Institute of Technology Delhi as well as the Indraprastha Institute of Information Technology Delhi.",NULL,NULL,http://www.coursera.org/course/bigdata,bigdata,NULL,NULL,NULL,NULL,NULL,NULL,"3-4 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-394,"Social and Economic Networks:  Models and Analysis",NULL,"Learn how to model social and economic networks and their impact on human behavior.  How do networks form, why do they exhibit certain patterns, and how does their structure impact diffusion, learning, and other behaviors?   We will bring together models and techniques from economics, sociology, math, physics, statistics and computer science to answer these questions.  ",NULL,NULL,http://www.coursera.org/course/networksonline,networksonline,NULL,NULL,NULL,NULL,NULL,NULL,"3-6 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
xRA5cxnoEeWg_RJGAuFGjw,"Relational Database Support for Data Warehouses",NULL,"Relational Database Support for Data Warehouses is the third course in the Data Warehousing for Business Intelligence specialization. In this course, youll use analytical elements of SQL for answering business intelligence questions. Youll learn features of relational database management systems for managing summary data commonly used in business intelligence reporting. Because of the importance and difficulty of managing implementations of data warehouses, well also delve into storage architectures, scalable parallel processing, data governance, and big data impacts.",NULL,NULL,http://www.coursera.org/learn/dwrelational,dwrelational,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
u41Z-k3PEeWjfw5p9aPb_w,"Mathematical Biostatistics Boot Camp 2",NULL,"Learn fundamental concepts in data analysis and statistical inference, focusing on one and two independent samples.",NULL,NULL,http://www.coursera.org/learn/biostatistics-2,biostatistics-2,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
2QKA3X3EEeW-FwqtbgSK1Q,"Measuring Causal Effects in the Social Sciences",NULL,"How can we know if the differences in wages between men and women are caused by discrimination or differences in background characteristics? In this course we look at causal effects as opposed to spurious relationships. We will discuss how they can be identified in the social sciences using quantitative data, and describe how this can help us understand social mechanisms.",NULL,NULL,http://www.coursera.org/learn/measuring-causal-effects,measuring-causal-effects,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
KkFXzUXEEeWb8RJf7Z1H0w,"Operations Analytics",NULL,"This course is designed to impact the way you think about transforming data into better decisions. Recent extraordinary improvements in data-collecting technologies have changed the way firms make informed and effective business decisions. The course on operations analytics, taught by three of Wharton’s leading experts, focuses on how the data can be used to profitably match supply with demand in various business settings. In this course, you will learn how to model future demand uncertainties, how to predict the outcomes of competing policy choices and how to choose the best course of action in the face of risk. The course will introduce frameworks and ideas that provide insights into a spectrum of real-world business challenges, will teach you methods and software available for tackling these challenges quantitatively as well as the issues involved in gathering the relevant data.",NULL,NULL,http://www.coursera.org/learn/wharton-operations-analytics,wharton-operations-analytics,NULL,NULL,NULL,NULL,NULL,NULL,"4 weeks of study, 2-3 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
UCBrJjb0EeWw6g4yTrGrVQ,"Data Analysis and Interpretation Capstone",NULL,"The Capstone project will allow you to continue to apply and refine the data analytic techniques learned from the previous courses in the Specialization to address an important issue in society. You will use real world data to complete a project with our industry and academic partners. A major component of the Capstone project is for you to be able to choose the information from your analyses that best conveys results and implications, and to tell a compelling story with this information. You will report your findings in a professional quality report that can be shown to colleagues and potential employers to demonstrate the skills you learned by completing the Specialization.",NULL,NULL,http://www.coursera.org/learn/data-analysis-capstone,data-analysis-capstone,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-188,"Passion Driven Statistics",NULL,"With existing data, you will develop skills in data analysis and basic statistics by exploring your own research question.",NULL,NULL,http://www.coursera.org/course/pdstatistics,pdstatistics,NULL,NULL,NULL,NULL,NULL,NULL,"3-4 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
hwiBZm0vEeWbyw5d8C-Blw,"Exploratory Data Analysis",NULL,"This course covers the essential exploratory techniques for summarizing data. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques are also important for eliminating or sharpening potential hypotheses about the world that can be addressed by the data. We will cover in detail the plotting systems in R as well as some of the basic principles of constructing data graphics. We will also cover some of the common multivariate statistical techniques used to visualize high-dimensional data.",NULL,NULL,http://www.coursera.org/learn/exploratory-data-analysis,exploratory-data-analysis,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
olJcuUKiEeWKOBLv1z6n9w,"Introduction to People Analytics",NULL,"This course is designed to provide you with an understanding of the role of data and technology in human capital management. Every topic in the course will be covered in the most practical way so that learners get hands-on experience. In the course we use the 4Ts principle: Task, Theory, Technique and Technology so that there is always a connection to organizational performance objectives, an overview of underlying theories and principles, and specific tools which help achieve business objectives.

You will learn 
●\twhat combination of data, technologies, and tools can be used in people management processes to improve organization’s performance
●\thow to use some of these tools and how to select the ones that suit your objectives and budget
●\tto design individual and team development plans and measure its ROI for the organization
●\thow to figure out the qualities that lead employees to their best performance so you know what to encourage in current and look for in new employees
●\thow to identify the right channels to recruit your employees or team members
●\twhat combination of monetary and non-monetary motivation tools work best for your organization 
●\thow to predict what people will leave in the near future and how to make sure some of them stay
●\thow to measure engagement and make a strong organizational culture improve performance",NULL,NULL,http://www.coursera.org/learn/people-analytics,people-analytics,NULL,NULL,NULL,NULL,NULL,NULL,"7 weeks of study, 1-3 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
3Vo3Am1LEeWMPAqsmzmVew,"Developing Data Products",NULL,"A data product is the production output from a statistical analysis. Data products automate complex analysis tasks or use technology to expand the utility of a data informed model, algorithm or inference. This course covers the basics of creating data products using Shiny, R packages, and interactive graphics. The course will focus on the statistical fundamentals of creating a data product that can be used to tell a story about data to a mass audience.",NULL,NULL,http://www.coursera.org/learn/data-products,data-products,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
t1gZRTXyEeW6RApRXdjJPw,"The Importance of Listening",NULL,"In this second MOOC in the Social Marketing Specialization - ""The Importance of Listening"" - you will go deep into the Big Data of social and gain a more complete picture of what can be learned from interactions on social sites. You will be amazed at just how much information can be extracted from a single post, picture, or video. In this MOOC, guest speakers from Social Gist, BroadReader, Lexalytics, Semantria, Radian6, and IBMs Bluemix and Social Media Analytics Tools (SMA) will join Professor Hlavac to take you through the full range of analytics tools and options available to you and how to get the most from them. The best part, most of them will be available to you through the MOOC for free! Those purchasing the MOOC will receive special tools, templates, and videos to enhance your learning experience. In completing this course you will develop a fuller understanding of the data and will be able to increase the effectiveness of your content strategy by making better decisions and spotting crises before they happen! MOOC 2 bonus content in the paid toolkit includes access to Semantrias analytics engine to extract some data on the markets you are developing and have it analyzed. \n\nNOTE: By enrolling in this course, you will be given access to IBMs Bluemix technology for one month for free as well as Lexalytics Semantria tool. For those earning a Course Certificate, you will be given an additional five months of Bluemix and three months of Semantria at no cost with a special key code generated only for your email address. By enrolling for a Course Certificate for this MOOC, you are acknowledging that your email will be shared with IBM and Lexalytics for the sole and express purpose of generating your individual key code. After the key code has been generated, IBM and Lexalytics will delete your email from its records. \n\nAdditional MOOC 2 faculty include: \n* Steve Dodd (SVP Business Development, Effyis - dba BoardReader and Socialgist - Global Social Media Content Access) \n* Seth Redmore (CMO, Lexalytics, Inc.)\n* Chris Gruber (Social Media Analytics Solution Architect, IBM)\n* Russell Beardall (Cloud Architect, IBM) \n* Tom Collinger (Executive Director Spiegel Research Center and Senior Director Distance Learning, Medill Integrated Marketing Communications, Northwestern)\n* Tressie Lieberman (VP Digital Innovation, Taco Bell)",NULL,NULL,http://www.coursera.org/learn/importance-of-listening,importance-of-listening,NULL,NULL,NULL,NULL,NULL,NULL,"4 weeks of study, 2-4 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
FMBvmkIKEeWB_AoW1KYI4Q,"Machine Learning: Recommender Systems & Dimensionality Reduction",NULL,"Case Study: Recommending Products\n\nHow does Amazon recommend products you might be interested in purchasing?  How does Netflix decide which movies or TV shows you might want to watch?  What if you are a new user, should Netflix just recommend the most popular movies?  Who might you form a new link with on Facebook or LinkedIn?  These questions are endemic to most service-based industries, and underlie the notion of collaborative filtering and the recommender systems deployed to solve these problems.  In this fourth case study, you will explore these ideas in the context of recommending products based on customer reviews.  \n\nIn this course, you will explore dimensionality reduction techniques for modeling high-dimensional data.  In the case of recommender systems, your data is represented as user-product relationships, with potentially millions of users and hundred of thousands of products.  You will implement matrix factorization and latent factor models for the task of predicting new user-product relationships.  You will also use side information about products and users to improve predictions.\n\nLearning Outcomes:  By the end of this course, you will be able to:\n   -Create a collaborative filtering system.\n   -Reduce dimensionality of data using SVD, PCA, and random projections.\n   -Perform matrix factorization using coordinate descent.\n   -Deploy latent factor models as a recommender system.\n   -Handle the cold start problem using side information.\n   -Examine a product recommendation application.\n   -Implement these techniques in Python.",NULL,NULL,http://www.coursera.org/learn/ml-recommenders,ml-recommenders,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
OZSZ6CD-EeWcQw5YiljpGw,"Introduction to Big Data Analytics",NULL,"This course is for novice programmers or business people whod like to understand more advanced tools used to wrangle and analyze big data. In this course you will be guided in basic approaches  to querying and exploring data using higher level tools built on top of a Hadoop Platform.   You will be walked through query interfaces, environments, and the canonical situations for tools like HBASE, HIVE, Pig, as well as more general tools like Spark-SQL.   After this course you will be able to identify the kinds of analysis you can get of big data and how to interpret these results.",NULL,NULL,http://www.coursera.org/learn/bigdata-analytics,bigdata-analytics,NULL,NULL,NULL,NULL,NULL,NULL,"5 weeks of study, 3-5 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
X1RtV0EiEeWC4g7VhG4bTQ,"Managing Data Analysis",NULL,"This one-week course describes the process of analyzing data and how to manage that process. We describe the iterative nature of data analysis and the role of stating a sharp question, exploratory data analysis, inference, formal statistical modeling, interpretation, and communication. In addition, we will describe how to direct analytic activities within a team and to drive the data analysis process towards coherent and useful results. \n\nThis is a focused course designed to rapidly get you up to speed on the process of data analysis and how it can be managed. Our goal was to make this as convenient as possible for you without sacrificing any essential content. Weve left the technical information aside so that you can focus on managing your team and moving it forward.\n\nAfter completing this course you will know how to….\n\n1. Describe the basic data analysis iteration\n2. Identify different types of questions and translate them to specific datasets\n3. Describe different types of data pulls\n4. Explore datasets to determine if data are appropriate for a given question\n5. Direct model building efforts in common data analyses\n6. Interpret the results from common data analyses\n7. Integrate statistical findings to form coherent data analysis presentations\n\nCommitment: 1 week of study, 4-6 hours\n\nCourse cover image by fdecomite. Creative Commons BY https://flic.kr/p/4HjmvD",NULL,NULL,http://www.coursera.org/learn/managing-data-analysis,managing-data-analysis,NULL,NULL,NULL,NULL,NULL,NULL,"1 week of study, 4-6 hours",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
3c1bSkIJEeWpogr5ZO8qxQ,"Machine Learning: Classification",NULL,"Case Study: Analysing Sentiment\n\nIn our second case study, analyzing sentiment, you will create models that predict a class (positive/negative sentiment) from input features (text of the reviews, user profile information,...).  This task is an example of classification, one of the most widely used areas of machine learning, with a broad array of applications, including ad targeting, spam detection, medical diagnosis and image classification. \n\nIn this course, you will create classifiers that provide state-of-the-art performance on a variety of tasks.  You will become familiar with some of the most successful techniques, including logistic regression, boosted decision trees and kernelized support vector machines.  In addition, you will be able to design and implement the underlying algorithms that can learn these models at scale.  You will implement these technique on real-world, large-scale machine learning tasks.   \n\nLearning Objectives: By the end of this course, you will be able to:\n   -Describe the input and output of a classification model.\n   -Tackle both binary and multiclass classification problems.\n   -Implement a logistic regression model for large-scale classification.  \n   -Create a non-linear model using decision trees.\n   -Improve the performance of any model using boosting.\n   -Construct non-linear features using kernels.  \n   -Describe the underlying decision boundaries.  \n   -Build a classification model to predict sentiment in a product review dataset.  \n   -Implement these techniques in Python.",NULL,NULL,http://www.coursera.org/learn/ml-classification,ml-classification,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
uiT8U5oIEeWQGBKrxISOrQ,"Command Line Tools for Genomic Data Science",NULL,"Introduces to the commands that you need to manage and analyze directories, files, and large sets of genomic data. This is the fourth course in the Genomic Big Data Science Specialization from Johns Hopkins University.",NULL,NULL,http://www.coursera.org/learn/genomic-tools,genomic-tools,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
bGZkCuIJEeSqWiIAC0gGHw,"Digital Analytics for Marketing Professionals: Marketing Analytics in Practice",NULL,"This course builds on the theory and foundations of marketing analytics and focuses on practical application by demystifying the use of data in marketing and helping you realize the power of visualizing data with artful use of numbers found in the digital space.",NULL,NULL,http://www.coursera.org/learn/digital-analytics,digital-analytics,NULL,NULL,NULL,NULL,NULL,NULL,"4 weeks of study, 8-10 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-2302,"Data Visualization",NULL,"Learn how to transform information from a format efficient for computation into a format efficient for human perception, cognition, and communication. Explore elements of computer graphics, human-computer interaction, perceptual psychology, and design in addition to data processing and computation.",NULL,NULL,http://www.coursera.org/course/datavisualization,datavisualization,NULL,NULL,NULL,NULL,NULL,NULL,"4-6 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-2614,"Applied Logistic Regression",NULL,"This course provides theoretical and practical training on the increasingly popular logistic\nregression model, which has become the standard analytical method for use with a\nbinary response variable.",NULL,NULL,http://www.coursera.org/course/logisticregression,logisticregression,NULL,NULL,NULL,NULL,NULL,NULL,"2-6 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
v1-2301,"Text Mining and Analytics",NULL,"Explore algorithms for mining and analyzing big text data to discover interesting patterns, extract useful knowledge, and support decision making.",NULL,NULL,http://www.coursera.org/course/textanalytics,textanalytics,NULL,NULL,NULL,NULL,NULL,NULL,"5-10 hours/week",NULL,Free,NULL,en,MOOC,"Coursera specific license",Coursera
